Domain,Type,Sponsoring Organisation ,Date
.top,generic,"Jiangsu Bangning Science & Technology Co.,Ltd.",2023-06-08
.toshiba,generic,TOSHIBA Corporation,2023-06-08
.tours,generic,"Sugar Station, LLC",2023-06-08
.town,generic,"Koko Moon, LLC",2023-06-08
.toys,generic,"Pioneer Orchard, LLC",2023-06-08
.trade,generic,Elite Registry Limited,2023-06-08
.trading,generic,DOTTRADING REGISTRY LTD,2023-06-08
.training,generic,"Wild Willow, LLC",2023-06-08
.trust,generic,Artemis Internet Inc,2023-06-08
.tui,generic,TUI AG,2023-06-08
.university,generic,"Little Station, LLC",2023-06-08
.uno,generic,Dot Latin LLC,2023-06-08
.uol,generic,UBN INTERNET LTDA.,2023-06-08
.vacations,generic,"Atomic Tigers, LLC",2023-06-08
.vegas,generic,"Dot Vegas, Inc.",2023-06-08
.ventures,generic,"Binky Lake, LLC",2023-06-08
.versicherung,generic,dotversicherung-registry GmbH,2023-06-08
.vet,generic,"United TLD Holdco, Ltd",2023-06-08
.viajes,generic,"Black Madison, LLC",2023-06-08
.video,generic,"United TLD Holdco, Ltd",2023-06-08
.villas,generic,"New Sky, LLC",2023-06-08
.vision,generic,"Koko Station, LLC",2023-06-08
.vlaanderen,generic,DNS.be vzw,2023-06-08
.vodka,generic,Top Level Domain Holdings Limited,2023-06-08
.vote,generic,Monolith Registry LLC,2023-06-08
.voting,generic,Valuetainment Corp.,2023-06-08
.voto,generic,Monolith Registry LLC,2023-06-08
.voyage,generic,"Ruby House, LLC",2023-06-08
.wales,generic,Nominet UK,2023-06-08
.wang,generic,Zodiac Registry Limited,2023-06-08
.watch,generic,"Sand Shadow, LLC",2023-06-08
.webcam,generic,dot Webcam Limited,2023-06-08
.website,generic,DotWebsite Inc.,2023-06-08
.wed,generic,"Atgron, Inc.",2023-06-08
.wedding,generic,Top Level Domain Holdings Limited,2023-06-08
.whoswho,generic,Who's Who Registry,2023-06-08
.wien,generic,punkt.wien GmbH,2023-06-08
.wiki,generic,"Top Level Design, LLC",2023-06-08
.williamhill,generic,William Hill Organization Limited,2023-06-08
.win,generic,First Registry Limited,2023-06-08
.wme,generic,"William Morris Endeavor Entertainment, LLC",2023-06-08
.work,generic,Top Level Domain Holdings Limited,2023-06-08
.works,generic,"Little Dynamite, LLC",2023-06-08
.world,generic,"Bitter Fields, LLC",2023-06-08
.wtc,generic,"World Trade Centers Association, Inc.",2023-06-08
.wtf,generic,"Hidden Way, LLC",2023-06-08
.xin,generic,Elegant Leader Limited,2023-06-08
.佛山,generic,"Guangzhou YU Wei Information Technology Co., Ltd.",2023-06-08
.慈善,generic,Excellent First Limited,2023-06-08
.集团,generic,Eagle Horizon Limited,2023-06-08
.在线,generic,TLD REGISTRY LIMITED,2023-06-08
.八卦,generic,Zodiac Scorpio Limited,2023-06-08
.موقع,generic,Suhub Electronic Establishment,2023-06-08
.公益,generic,China Organizational Name Administration Center,2023-06-08
.公司,generic,Computer Network Information Center of Chinese Academy of Sciences （China Internet Network Information Center）,2023-06-08
.移动,generic,Afilias Limited,2023-06-08
.我爱你,generic,Tycoon Treasure Limited,2023-06-08
.москва,generic,Foundation for Assistance for Internet Technologies and Infrastructure Development (FAITID),2023-06-08
.онлайн,generic,CORE Association,2023-06-08
.сайт,generic,CORE Association,2023-06-08
.时尚,generic,RISE VICTORY LIMITED,2023-06-08
.淡马锡,generic,Temasek Holdings (Private) Limited,2023-06-08
.орг,generic,Public Interest Registry,2023-06-08
.삼성,generic,"SAMSUNG SDS CO., LTD",2023-06-08
.商标,generic,HU YI GLOBAL INFORMATION RESOURCES(HOLDING) COMPANY.HONGKONG LIMITED,2023-06-08
.商店,generic,"Wild Island, LLC",2023-06-08
.商城,generic,Zodiac Aquarius Limited,2023-06-08
.дети,generic,The Foundation for Network Initiatives “The Smart Internet”,2023-06-08
.中文网,generic,TLD REGISTRY LIMITED,2023-06-08
.中信,generic,CITIC Group Corporation,2023-06-08
.谷歌,generic,Charleston Road Registry Inc.,2023-06-08
.网店,generic,Zodiac Libra Limited,2023-06-08
.संगठन,generic,Public Interest Registry,2023-06-08
.网络,generic,Computer Network Information Center of Chinese Academy of Sciences （China Internet Network Information Center）,2023-06-08
.飞利浦,generic,Koninklijke Philips N.V.,2023-06-08
.手机,generic,"Beijing RITT-Net Technology Development Co., Ltd",2023-06-08
.بازار,generic,CORE Association,2023-06-08
.政府,generic,"Net-Chinese Co., Ltd.",2023-06-08
.شبكة,generic,International Domain Registry Pty. Ltd.,2023-06-08
.机构,generic,Public Interest Registry,2023-06-08
.组织机构,generic,Public Interest Registry,2023-06-08
.健康,generic,Stable Tone Limited,2023-06-08
.рус,generic,Rusnames Limited,2023-06-08
.みんな,generic,Charleston Road Registry Inc.,2023-06-08
.グーグル,generic,Charleston Road Registry Inc.,2023-06-08
.世界,generic,Stable Tone Limited,2023-06-08
.网址,generic,"KNET Co., Ltd",2023-06-08
.游戏,generic,"Spring Fields, LLC",2023-06-08
.vermögensberater,generic,Deutsche Vermögensberatung Aktiengesellschaft DVAG,2023-06-08
.vermögensberatung,generic,Deutsche Vermögensberatung Aktiengesellschaft DVAG,2023-06-08
.企业,generic,"Dash McCook, LLC",2023-06-08
.信息,generic,"Beijing Tele-info Network Technology Co., Ltd.",2023-06-08
.广东,generic,"Guangzhou YU Wei Information Technology Co., Ltd.",2023-06-08
.政务,generic,China Organizational Name Administration Center,2023-06-08
.xyz,generic,XYZ.COM LLC,2023-06-08
.yachts,generic,"DERYachts, LLC",2023-06-08
.yandex,generic,"YANDEX, LLC",2023-06-08
.yodobashi,generic,"YODOBASHI CAMERA CO.,LTD.",2023-06-08
.yoga,generic,Top Level Domain Holdings Limited,2023-06-08
.yokohama,generic,"GMO Registry, Inc.",2023-06-08
.youtube,generic,Charleston Road Registry Inc.,2023-06-08
.zip,generic,Charleston Road Registry Inc.,2023-06-08
.zone,generic,"Outer Falls, LLC",2023-06-08
.zuerich,generic,Kanton Zürich (Canton of Zurich),2023-06-08
