Domain,Type,Sponsoring Organisation ,Date
.courses,generic,OPEN UNIVERSITIES AUSTRALIA PTY LTD,2023-06-08
.credit,generic,"Snow Shadow, LLC",2023-06-08
.creditcard,generic,"Binky Frostbite, LLC",2023-06-08
.cricket,generic,dot Cricket Limited,2023-06-08
.crs,generic,Federated Co-operatives Limited,2023-06-08
.cruises,generic,"Spring Way, LLC",2023-06-08
.cuisinella,generic,SALM S.A.S.,2023-06-08
.cymru,generic,Nominet UK,2023-06-08
.cyou,generic,"Beijing Gamease Age Digital Technology Co., Ltd.",2023-06-08
.dabur,generic,Dabur India Limited,2023-06-08
.dad,generic,Charleston Road Registry Inc.,2023-06-08
.dance,generic,United TLD Holdco Ltd.,2023-06-08
.date,generic,dot Date Limited,2023-06-08
.dating,generic,"Pine Fest, LLC",2023-06-08
.datsun,generic,"NISSAN MOTOR CO., LTD.",2023-06-08
.day,generic,Charleston Road Registry Inc.,2023-06-08
.dclk,generic,Charleston Road Registry Inc.,2023-06-08
.deals,generic,"Sand Sunset, LLC",2023-06-08
.degree,generic,"United TLD Holdco, Ltd",2023-06-08
.delivery,generic,"Steel Station, LLC",2023-06-08
.democrat,generic,United TLD Holdco Ltd.,2023-06-08
.dental,generic,"Tin Birch, LLC",2023-06-08
.dentist,generic,"United TLD Holdco, Ltd",2023-06-08
.desi,generic,Desi Networks LLC,2023-06-08
.design,generic,"Top Level Design, LLC",2023-06-08
.dev,generic,Charleston Road Registry Inc.,2023-06-08
.diamonds,generic,"John Edge, LLC",2023-06-08
.diet,generic,"Uniregistry, Corp.",2023-06-08
.digital,generic,"Dash Park, LLC",2023-06-08
.direct,generic,"Half Trail, LLC",2023-06-08
.directory,generic,"Extra Madison, LLC",2023-06-08
.discount,generic,"Holly Hill, LLC",2023-06-08
.dnp,generic,"Dai Nippon Printing Co., Ltd.",2023-06-08
.docs,generic,Charleston Road Registry Inc.,2023-06-08
.doha,generic,Communications Regulatory Authority (CRA),2023-06-08
.domains,generic,"Sugar Cross, LLC",2023-06-08
.doosan,generic,Doosan Corporation,2023-06-08
.download,generic,dot Support Limited,2023-06-08
.durban,generic,ZA Central Registry NPC trading as ZA Central Registry,2023-06-08
.dvag,generic,Deutsche Vermögensberatung Aktiengesellschaft DVAG,2023-06-08
.eat,generic,Charleston Road Registry Inc.,2023-06-08
.education,generic,"Brice Way, LLC",2023-06-08
.email,generic,"Spring Madison, LLC",2023-06-08
.emerck,generic,Merck KGaA,2023-06-08
.energy,generic,"Binky Birch, LLC",2023-06-08
.engineer,generic,United TLD Holdco Ltd.,2023-06-08
.engineering,generic,Romeo Canyon,2023-06-08
.enterprises,generic,"Snow Oaks, LLC",2023-06-08
.epson,generic,Seiko Epson Corporation,2023-06-08
.equipment,generic,"Corn Station, LLC",2023-06-08
.erni,generic,ERNI Group Holding AG,2023-06-08
.esq,generic,Charleston Road Registry Inc.,2023-06-08
.estate,generic,"Trixy Park, LLC",2023-06-08
.eurovision,generic,European Broadcasting Union (EBU),2023-06-08
.eus,generic,Puntueus Fundazioa,2023-06-08
.events,generic,"Pioneer Maple, LLC",2023-06-08
.everbank,generic,EverBank,2023-06-08
.exchange,generic,"Spring Falls, LLC",2023-06-08
.expert,generic,"Magic Pass, LLC",2023-06-08
.exposed,generic,"Victor Beach, LLC",2023-06-08
.express,generic,"Sea Sunset, LLC",2023-06-08
.fail,generic,"Atomic Pipe, LLC",2023-06-08
.faith,generic,dot Faith Limited,2023-06-08
.fan,generic,Asiamix Digital Ltd,2023-06-08
.fans,generic,Asiamix Digital Limited,2023-06-08
.farm,generic,"Just Maple, LLC",2023-06-08
.fashion,generic,Top Level Domain Holdings Limited,2023-06-08
.feedback,generic,"Top Level Spectrum, Inc.",2023-06-08
.film,generic,Motion Picture Domain Registry Pty Ltd,2023-06-08
.finance,generic,"Cotton Cypress, LLC",2023-06-08
.financial,generic,"Just Cover, LLC",2023-06-08
.firmdale,generic,Firmdale Holdings Limited,2023-06-08
.fish,generic,"Fox Woods, LLC",2023-06-08
.fishing,generic,Top Level Domain Holdings Limited,2023-06-08
.fit,generic,Minds + Machines Group Limited,2023-06-08
.fitness,generic,"Brice Orchard, LLC",2023-06-08
.flights,generic,"Fox Station, LLC",2023-06-08
.florist,generic,"Half Cypress, LLC",2023-06-08
.flowers,generic,"Uniregistry, Corp.",2023-06-08
.flsmidth,generic,FLSmidth A/S,2023-06-08
.fly,generic,Charleston Road Registry Inc.,2023-06-08
.foo,generic,Charleston Road Registry Inc.,2023-06-08
.football,generic,"Foggy Farms, LLC",2023-06-08
.forex,generic,DOTFOREX REGISTRY LTD,2023-06-08
.forsale,generic,"United TLD Holdco, LLC",2023-06-08
.foundation,generic,"John Dale, LLC",2023-06-08
.frl,generic,FRLregistry B.V.,2023-06-08
.frogans,generic,OP3FT,2023-06-08
.fund,generic,"John Castle, LLC",2023-06-08
.furniture,generic,"Lone Fields, LLC",2023-06-08
.futbol,generic,"United TLD Holdco, Ltd.",2023-06-08
.gal,generic,Asociación puntoGAL,2023-06-08
.gallery,generic,"Sugar House, LLC",2023-06-08
.garden,generic,Top Level Domain Holdings Limited,2023-06-08
.gbiz,generic,Charleston Road Registry Inc.,2023-06-08
.gdn,generic,"Joint Stock Company ""Navigation-information systems""",2023-06-08
.gent,generic,COMBELL GROUP NV/SA,2023-06-08
.ggee,generic,"GMO Internet, Inc.",2023-06-08
.gift,generic,"Uniregistry, Corp.",2023-06-08
.gifts,generic,"Goose Sky, LLC",2023-06-08
.gives,generic,United TLD Holdco Ltd.,2023-06-08
.glass,generic,"Black Cover, LLC",2023-06-08
.gle,generic,Charleston Road Registry Inc.,2023-06-08
.global,generic,Dot Global Domain Registry Limited,2023-06-08
.globo,generic,Globo Comunicação e Participações S.A,2023-06-08
.gmail,generic,Charleston Road Registry Inc.,2023-06-08
.gmo,generic,"GMO Internet, Inc.",2023-06-08
.gmx,generic,1&1 Mail & Media GmbH,2023-06-08
.gold,generic,"June Edge, LLC",2023-06-08
.goldpoint,generic,"YODOBASHI CAMERA CO.,LTD.",2023-06-08
.golf,generic,"Lone Falls, LLC",2023-06-08
.goo,generic,NTT Resonant Inc.,2023-06-08
.goog,generic,Charleston Road Registry Inc.,2023-06-08
.google,generic,Charleston Road Registry Inc.,2023-06-08
.gop,generic,"Republican State Leadership Committee, Inc.",2023-06-08
.graphics,generic,"Over Madison, LLC",2023-06-08
.gratis,generic,"Pioneer Tigers, LLC",2023-06-08
.green,generic,Afilias Limited,2023-06-08
.gripe,generic,"Corn Sunset, LLC",2023-06-08
.guge,generic,Charleston Road Registry Inc.,2023-06-08
.guide,generic,"Snow Moon, LLC",2023-06-08
.guitars,generic,"Uniregistry, Corp.",2023-06-08
.guru,generic,"Pioneer Cypress, LLC",2023-06-08
.hamburg,generic,Hamburg Top-Level-Domain GmbH,2023-06-08
.hangout,generic,Charleston Road Registry Inc.,2023-06-08
